x,y,sigxx,sigyy,sigxy
148.5, 0, -234301, 66137.1, -187.977
149, 0, -232957, 65772.8, -254.262
149.5, 0, -231660, 65427.7, -364.147
150, 0, -230413, 65072, -470.105
150.5, 0, -229286, 64752.5, -498.968
151, 0, -228205, 64460, -459.942
151.5, 0, -227100, 64158, -408.841
152, 0, -225972, 63846.4, -345.665
152.5, 0, -224820, 63525.2, -270.414
153, 0, -223654, 63124.1, -185.919
153.5, 0, -222484, 62677.2, -107.531
154, 0, -221304, 62237, -37.4662
154.5, 0, -220116, 61803.4, 24.2755
155, 0, -218919, 61376.6, 77.6942
155.5, 0, -217712, 60956.3, 122.79
156, 0, -216497, 60542.8, 159.563
156.5, 0, -215298, 60143.4, 174.756
157, 0, -214264, 59799.1, 100.122
157.5, 0, -213225, 59457.7, 31.9455
158, 0, -212182, 59119, -29.7751
158.5, 0, -211135, 58783, -85.0393
159, 0, -210084, 58449.8, -133.847
159.5, 0, -209028, 58119.3, -176.199
160, 0, -207968, 57791.6, -212.094
160.5, 0, -206904, 57466.6, -241.533
161, 0, -205836, 57144.4, -264.515
161.5, 0, -204763, 56824.9, -281.041
162, 0, -203687, 56508.2, -291.111
162.5, 0, -202606, 56194.2, -294.724
163, 0, -201520, 55883, -291.881
163.5, 0, -200431, 55574.5, -282.582
164, 0, -199358, 55292.4, -280.09
164.5, 0, -198301, 55010.4, -274.416
165, 0, -197259, 54726.4, -264.494
165.5, 0, -196232, 54440.2, -250.324
166, 0, -195220, 54151.9, -231.906
166.5, 0, -194224, 53861.6, -209.24
167, 0, -193242, 53569.1, -182.326
167.5, 0, -192275, 53274.5, -151.164
168, 0, -191324, 52977.8, -115.755
168.5, 0, -190408, 52694.6, -90.4758
169, 0, -189550, 52445.6, -98.881
169.5, 0, -188695, 52192.1, -107.668
170, 0, -187844, 51934.1, -116.838
170.5, 0, -186995, 51671.6, -126.389
171, 0, -186151, 51404.7, -136.323
171.5, 0, -185309, 51133.4, -146.639
172, 0, -184471, 50857.5, -157.337
172.5, 0, -183636, 50577.2, -168.418
173, 0, -182805, 50292.5, -179.88
173.5, 0, -181977, 50003.2, -191.725
174, 0, -181152, 49709.5, -203.952
174.5, 0, -180330, 49411.4, -216.561
175, 0, -179512, 49108.7, -229.552
175.5, 0, -178698, 48801.6, -242.926
176, 0, -177886, 48490.1, -256.681
176.5, 0, -177068, 48184.1, -261.819
177, 0, -176204, 47927.6, -221.393
177.5, 0, -175352, 47669.5, -183.219
178, 0, -174511, 47409.6, -147.297
178.5, 0, -173681, 47148.1, -113.627
179, 0, -172863, 46884.8, -82.2099
179.5, 0, -172055, 46619.9, -53.045
180, 0, -171411, 46370.5, -8.33926
180.5, 0, -170771, 46121.6, 36.9695
181, 0, -170131, 45872.8, 82.3983
181.5, 0, -169450, 45632.5, 110.375
182, 0, -168696, 45406.5, 106.549
182.5, 0, -167944, 45179.6, 102.22
183, 0, -167194, 44951.9, 97.3904
183.5, 0, -166446, 44723.3, 92.059
184, 0, -165701, 44493.8, 86.2261
184.5, 0, -164957, 44263.4, 79.8917
185, 0, -164216, 44032.2, 73.0557
185.5, 0, -163477, 43800.1, 65.7182
186, 0, -162740, 43567.1, 57.8792
186.5, 0, -162005, 43333.2, 49.5387
187, 0, -161272, 43098.5, 40.6967
187.5, 0, -160541, 42862.8, 31.3532
188, 0, -159813, 42626.3, 21.5081
188.5, 0, -159086, 42388.9, 11.1615
189, 0, -158362, 42150.7, 0.313402
189.5, 0, -157640, 41911.5, -11.0362
190, 0, -156920, 41671.5, -22.8874
190.5, 0, -156203, 41430.6, -35.24
191, 0, -155487, 41188.9, -48.0942
191.5, 0, -154773, 40946.2, -61.4499
192, 0, -154062, 40702.7, -75.3072
192.5, 0, -153446, 40479.6, -64.2145
193, 0, -152879, 40270.4, -41.8262
193.5, 0, -152307, 40063.7, -23.098
194, 0, -151731, 39859.5, -8.02994
194.5, 0, -151151, 39657.9, 3.37801
195, 0, -150566, 39458.7, 11.1258
195.5, 0, -149977, 39262, 15.2135
196, 0, -149383, 39067.8, 15.6411
196.5, 0, -148785, 38876.1, 12.4086
197, 0, -148182, 38686.9, 5.51588
197.5, 0, -147575, 38500.2, -5.03692
198, 0, -146964, 38316, -19.2498
198.5, 0, -146348, 38134.3, -37.1229
199, 0, -145723, 37950.9, -62.8709
199.5, 0, -145092, 37756.5, -101.316
200, 0, -144474, 37562.5, -138.85
200.5, 0, -143870, 37368.9, -175.473
201, 0, -143316, 37177.6, -168.454
201.5, 0, -142777, 36987.2, -146.888
202, 0, -142237, 36796.7, -125.273
202.5, 0, -141698, 36606.2, -103.607
203, 0, -141158, 36415.8, -81.8922
203.5, 0, -140619, 36225.3, -60.127
204, 0, -140079, 36034.9, -38.3119
204.5, 0, -139540, 35844.4, -16.4469
205, 0, -139000, 35654, 5.46804
205.5, 0, -138461, 35463.6, 27.4329
206, 0, -137922, 35273.2, 49.4477
206.5, 0, -137382, 35082.7, 71.5124
207, 0, -136842, 34892.3, 93.627
207.5, 0, -136303, 34702, 115.792
208, 0, -135763, 34511.6, 138.006
208.5, 0, -135224, 34321.2, 160.27
209, 0, -134684, 34130.8, 182.585
209.5, 0, -134145, 33940.5, 204.949
210, 0, -133612, 33753.8, 213.557
210.5, 0, -133101, 33577.4, 182.835
