x,y,u1,u2,sxx,syy,sxy
0,-23.3,1.48716e-24,0.00044466,894351,1.17643e+06,-4433.68
0,-23.2,1.45117e-24,0.000447687,904487,1.18987e+06,-4002.12
0,-23.1,1.4071e-24,0.000450736,914735,1.20383e+06,-3497.69
0,-23,1.35493e-24,0.000453809,925096,1.21831e+06,-2920.38
0,-22.9,1.29467e-24,0.000456905,935569,1.23331e+06,-2270.21
0,-22.8,1.22633e-24,0.000460025,946155,1.24883e+06,-1547.16
0,-22.7,1.14989e-24,0.000463167,956853,1.26486e+06,-751.248
0,-22.6,1.06536e-24,0.000466334,967664,1.28141e+06,117.536
0,-22.5,9.72734e-25,0.000469523,978587,1.29848e+06,1059.19
0,-22.4,9.5657e-25,0.000472734,990324,1.31322e+06,866.531
0,-22.3,1.11434e-24,0.000475972,1.00365e+06,1.32213e+06,-1753.35
0,-22.2,1.26095e-24,0.000479248,1.01703e+06,1.33131e+06,-4106.37
0,-22.1,1.39641e-24,0.000482561,1.03044e+06,1.34077e+06,-6192.53
0,-22,1.52071e-24,0.000485912,1.0439e+06,1.35051e+06,-8011.82
0,-21.9,1.63386e-24,0.000489299,1.0574e+06,1.36054e+06,-9564.24
0,-21.8,1.73586e-24,0.000492725,1.07095e+06,1.37084e+06,-10849.8
0,-21.7,1.82671e-24,0.000496188,1.08453e+06,1.38143e+06,-11868.5
0,-21.6,1.9064e-24,0.000499688,1.09816e+06,1.39229e+06,-12620.3
0,-21.5,1.97494e-24,0.000503225,1.11183e+06,1.40344e+06,-13105.3
0,-21.4,2.03233e-24,0.0005068,1.12555e+06,1.41486e+06,-13323.4
0,-21.3,2.07856e-24,0.000510412,1.13931e+06,1.42657e+06,-13274.6
0,-21.2,2.11364e-24,0.000514062,1.15311e+06,1.43856e+06,-12959
0,-21.1,2.13757e-24,0.000517749,1.16695e+06,1.45082e+06,-12376.5
0,-21,2.15034e-24,0.000521473,1.18083e+06,1.46337e+06,-11527.1
0,-20.9,2.15196e-24,0.000525235,1.19476e+06,1.4762e+06,-10410.8
0,-20.8,2.14243e-24,0.000529034,1.20873e+06,1.48931e+06,-9027.75
0,-20.7,2.12174e-24,0.00053287,1.22275e+06,1.5027e+06,-7377.78
0,-20.6,2.0899e-24,0.000536744,1.2368e+06,1.51637e+06,-5460.95
0,-20.5,2.04691e-24,0.000540656,1.2509e+06,1.53032e+06,-3277.25
0,-20.4,1.99276e-24,0.000544604,1.26505e+06,1.54455e+06,-826.687
0,-20.3,1.92746e-24,0.00054859,1.27923e+06,1.55906e+06,1890.74
0,-20.2,1.85101e-24,0.000552614,1.29346e+06,1.57385e+06,4875.04
0,-20.1,1.7634e-24,0.000556674,1.30773e+06,1.58892e+06,8126.2
0,-20,1.66464e-24,0.000560773,1.32204e+06,1.60427e+06,11644.2
0,-19.9,1.55473e-24,0.000564908,1.3364e+06,1.61991e+06,15429.1
0,-19.8,1.43366e-24,0.000569081,1.35079e+06,1.63582e+06,19480.9
0,-19.7,1.30144e-24,0.000573291,1.36524e+06,1.65201e+06,23799.5
0,-19.6,1.50277e-24,0.000577519,1.39139e+06,1.67879e+06,17133.9
0,-19.5,1.72871e-24,0.000581808,1.41878e+06,1.70663e+06,9796.47
0,-19.4,1.93831e-24,0.000586162,1.44601e+06,1.73431e+06,3136.82
0,-19.3,6.88951e-21,0.000590581,1.47309e+06,1.76182e+06,-2845.01
0,-19.2,2.30848e-24,0.000595065,1.5e+06,1.78915e+06,-8149.01
0,-19.1,-7.14955e-21,0.000599614,1.52676e+06,1.81632e+06,-12775.2
0,-19,2.61326e-24,0.000604228,1.55336e+06,1.84332e+06,-16723.5
0,-18.9,-7.41391e-21,0.000608906,1.5798e+06,1.87014e+06,-19994.1
0,-18.8,2.85267e-24,0.00061365,1.60608e+06,1.8968e+06,-22586.8
0,-18.7,-7.67834e-21,0.000618458,1.6322e+06,1.92329e+06,-24501.6
0,-18.6,3.02669e-24,0.000623332,1.65817e+06,1.94961e+06,-25738.7
0,-18.5,3.08919e-24,0.00062827,1.68398e+06,1.97576e+06,-26297.9
0,-18.4,3.13534e-24,0.000633273,1.70963e+06,2.00174e+06,-26179.3
0,-18.3,3.16514e-24,0.000638341,1.73512e+06,2.02755e+06,-25382.9
0,-18.2,3.17861e-24,0.000643474,1.76046e+06,2.05319e+06,-23908.6
0,-18.1,3.17572e-24,0.000648672,1.78563e+06,2.07866e+06,-21756.5
0,-18,3.15649e-24,0.000653935,1.81065e+06,2.10397e+06,-18926.6
0,-17.9,3.12092e-24,0.000659263,1.83551e+06,2.1291e+06,-15418.9
0,-17.8,3.069e-24,0.000664656,1.86021e+06,2.15406e+06,-11233.3
0,-17.7,-4.49923e-21,0.000670114,1.88476e+06,2.17885e+06,-6369.94
0,-17.6,2.28711e-21,0.000675636,1.90915e+06,2.20348e+06,-828.731
0,-17.5,-2.31446e-21,0.000681224,1.93337e+06,2.22793e+06,5390.3
0,-17.4,-4.69801e-21,0.000686876,1.95744e+06,2.25222e+06,12287.2
0,-17.3,4.76943e-21,0.000692593,1.98136e+06,2.27633e+06,19861.9
0,-17.2,2.41893e-21,0.000698376,2.00511e+06,2.30028e+06,28114.4
0,-17.1,3.06424e-21,0.000704223,2.02871e+06,2.32405e+06,37044.7
0,-17,-2.79094e-21,0.000710135,2.05215e+06,2.34766e+06,46652.9
0,-16.9,2.4186e-24,0.000716083,2.09044e+06,2.38717e+06,46939.8
0,-16.8,3.38255e-24,0.00072212,2.14535e+06,2.44446e+06,36311.4
0,-16.7,4.34918e-24,0.000728295,2.20026e+06,2.50176e+06,25682.9
0,-16.6,5.31849e-24,0.00073461,2.25517e+06,2.55905e+06,15054.5
0,-16.5,6.2905e-24,0.000741065,2.31008e+06,2.61635e+06,4426.02
0,-16.4,7.26518e-24,0.000747659,2.36499e+06,2.67364e+06,-6202.43
0,-16.3,8.24255e-24,0.000754392,2.4199e+06,2.73094e+06,-16830.9
0,-16.2,9.22261e-24,0.000761265,2.47481e+06,2.78823e+06,-27459.3
0,-16.1,1.02054e-23,0.000768277,2.52973e+06,2.84553e+06,-38087.8
0,-16,1.11908e-23,0.000775429,2.58464e+06,2.90282e+06,-48716.2
0,-15.9,1.21789e-23,0.00078272,2.63955e+06,2.96012e+06,-59344.7
0,-15.8,1.31697e-23,0.00079015,2.69446e+06,3.01741e+06,-69973.2
0,-15.7,1.41632e-23,0.00079772,2.74937e+06,3.0747e+06,-80601.6
0,-15.6,1.51593e-23,0.000805429,2.80428e+06,3.132e+06,-91230.1
0,-15.5,1.61582e-23,0.000813278,2.85919e+06,3.18929e+06,-101859
0,-15.4,1.71597e-23,0.000821266,2.9141e+06,3.24659e+06,-112487
0,-15.3,1.8164e-23,0.000829394,2.96901e+06,3.30388e+06,-123115
0,-15.2,1.91709e-23,0.000837661,3.02392e+06,3.36118e+06,-133744
