x,y,sigxx
63.7, 0, -510455
63.8, 0, -510455
63.9, 0, -510455
64, 0, -510454
64.1, 0, -510454
64.2, 0, -510454
64.3, 0, -510454
64.4, 0, -503878
64.5, 0, -503878
64.6, 0, -503878
64.7, 0, -503878
64.8, 0, -503878
64.9, 0, -503878
65, 0, -503878
65.1, 0, -500725
65.2, 0, -497039
65.3, 0, -497039
65.4, 0, -497039
65.5, 0, -497008
65.6, 0, -497008
65.7, 0, -497008
65.8, 0, -497008
65.9, 0, -490557
66, 0, -490557
66.1, 0, -490557
66.2, 0, -490557
66.3, 0, -490557
66.4, 0, -490557
66.5, 0, -490557
66.6, 0, -487156
66.7, 0, -484014
66.8, 0, -484014
66.9, 0, -484014
67, 0, -484014
67.1, 0, -484404
67.2, 0, -484404
67.3, 0, -484404
67.4, 0, -481780
67.5, 0, -478704
67.6, 0, -478704
67.7, 0, -478704
67.8, 0, -478390
67.9, 0, -478390
68, 0, -478390
68.1, 0, -478390
68.2, 0, -472897
68.3, 0, -472897
68.4, 0, -472897
68.5, 0, -472897
68.6, 0, -472897
68.7, 0, -472897
68.8, 0, -472897
68.9, 0, -472897
69, 0, -467095
69.1, 0, -467095
69.2, 0, -467095
69.3, 0, -467095
69.4, 0, -467360
69.5, 0, -467360
69.6, 0, -467360
69.7, 0, -467360
69.8, 0, -462008
69.9, 0, -462008
70, 0, -462008
70.1, 0, -462008
70.2, 0, -462009
70.3, 0, -462009
70.4, 0, -462009
70.5, 0, -462009
70.6, 0, -457071
70.7, 0, -457071
70.8, 0, -457071
70.9, 0, -457071
71, 0, -456902
71.1, 0, -456902
71.2, 0, -456902
71.3, 0, -454586
71.4, 0, -452040
71.5, 0, -452040
71.6, 0, -452040
71.7, 0, -452040
71.8, 0, -452040
71.9, 0, -452040
72, 0, -452040
72.1, 0, -449928
72.2, 0, -447452
72.3, 0, -447452
72.4, 0, -447452
72.5, 0, -447452
72.6, 0, -447332
72.7, 0, -447332
72.8, 0, -447332
72.9, 0, -447332
73, 0, -442984
73.1, 0, -442984
73.2, 0, -442984
73.3, 0, -442984
73.4, 0, -442902
73.5, 0, -442902
73.6, 0, -442902
73.7, 0, -442902
73.8, 0, -438581
73.9, 0, -438581
74, 0, -438581
74.1, 0, -438581
74.2, 0, -438573
74.3, 0, -438573
74.4, 0, -438573
74.5, 0, -438573
74.6, 0, -434430
74.7, 0, -434430
74.8, 0, -434430
74.9, 0, -434430
75, 0, -434184
75.1, 0, -434184
75.2, 0, -434184
75.3, 0, -434184
75.4, 0, -432323
75.5, 0, -430416
75.6, 0, -430416
75.7, 0, -430416
75.8, 0, -430416
75.9, 0, -430416
76, 0, -430416
76.1, 0, -430416
76.2, 0, -430416
76.3, 0, -426681
76.4, 0, -426681
76.5, 0, -426681
76.6, 0, -426681
76.7, 0, -426632
76.8, 0, -426632
76.9, 0, -426632
77, 0, -426632
77.1, 0, -422982
77.2, 0, -422982
77.3, 0, -422982
77.4, 0, -422982
77.5, 0, -422982
77.6, 0, -422962
77.7, 0, -422962
77.8, 0, -422962
77.9, 0, -421366
78, 0, -419575
78.1, 0, -419575
78.2, 0, -419575
78.3, 0, -419575
78.4, 0, -419575
78.5, 0, -419575
78.6, 0, -419575
78.7, 0, -419575
78.8, 0, -416300
78.9, 0, -416300
79, 0, -416300
79.1, 0, -416300
79.2, 0, -416300
79.3, 0, -416180
79.4, 0, -416180
79.5, 0, -416180
79.6, 0, -416180
79.7, 0, -413107
79.8, 0, -413107
79.9, 0, -413107
80, 0, -413107
80.1, 0, -413107
80.2, 0, -413107
80.3, 0, -413107
80.4, 0, -413107
80.5, 0, -410193
80.6, 0, -410193
80.7, 0, -410193
80.8, 0, -410193
80.9, 0, -410193
81, 0, -410074
81.1, 0, -410074
81.2, 0, -410074
81.3, 0, -410074
81.4, 0, -407213
81.5, 0, -407213
81.6, 0, -407213
81.7, 0, -407213
81.8, 0, -407250
81.9, 0, -407250
82, 0, -407250
82.1, 0, -407250
82.2, 0, -407250
82.3, 0, -404553
82.4, 0, -404553
82.5, 0, -404553
82.6, 0, -404553
82.7, 0, -404553
82.8, 0, -404553
82.9, 0, -404553
83, 0, -404553
83.1, 0, -403342
83.2, 0, -402091
83.3, 0, -402091
83.4, 0, -402091
83.5, 0, -402091
83.6, 0, -402015
83.7, 0, -402015
83.8, 0, -402015
83.9, 0, -402015
84, 0, -399710
84.1, 0, -399710
84.2, 0, -399710
84.3, 0, -399710
84.4, 0, -399710
84.5, 0, -399707
84.6, 0, -399707
84.7, 0, -399707
84.8, 0, -399707
84.9, 0, -397526
85, 0, -397526
85.1, 0, -397526
85.2, 0, -397526
85.3, 0, -397526
85.4, 0, -397457
85.5, 0, -397457
85.6, 0, -397457
85.7, 0, -397457
85.8, 0, -395420
85.9, 0, -395420
86, 0, -395420
86.1, 0, -395420
86.2, 0, -395420
86.3, 0, -395351
86.4, 0, -395351
86.5, 0, -395351
86.6, 0, -395351
86.7, 0, -393356
86.8, 0, -393356
86.9, 0, -393356
87, 0, -393356
87.1, 0, -393356
87.2, 0, -393356
87.3, 0, -393356
87.4, 0, -393356
87.5, 0, -393356
87.6, 0, -391609
87.7, 0, -391609
87.8, 0, -391609
87.9, 0, -391609
88, 0, -391609
88.1, 0, -391607
88.2, 0, -391607
88.3, 0, -391607
88.4, 0, -391607
88.5, 0, -390796
88.6, 0, -389957
88.7, 0, -389957
88.8, 0, -389957
88.9, 0, -389957
89, 0, -389955
89.1, 0, -389955
89.2, 0, -389955
89.3, 0, -389955
89.4, 0, -389955
89.5, 0, -388440
89.6, 0, -388440
89.7, 0, -388440
89.8, 0, -388440
89.9, 0, -388440
90, 0, -388434
90.1, 0, -388434
90.2, 0, -388434
90.3, 0, -388434
