x,y,u1,u2
0.0551646,8.34078,0.00341638,-0.00193419
0.0554263,8.32341,0.00343303,-0.00193025
0.0556876,8.30596,0.00344967,-0.00192629
0.0559482,8.28842,0.00346628,-0.0019223
0.0562083,8.27081,0.00348288,-0.00191829
0.0564679,8.25311,0.00349945,-0.00191426
0.0567269,8.23533,0.00351601,-0.0019102
0.0569853,8.21746,0.00353253,-0.00190612
0.0572432,8.19952,0.00354903,-0.00190202
0.0575005,8.1815,0.00356551,-0.00189789
0.0577573,8.16339,0.00358195,-0.00189374
0.0580134,8.14521,0.00359836,-0.00188957
0.058269,8.12694,0.00361474,-0.00188537
0.0585241,8.1086,0.00363109,-0.00188115
0.0587785,8.09017,0.0036474,-0.0018769
0.0590324,8.07166,0.00366368,-0.00187263
0.0592857,8.05308,0.00367991,-0.00186834
0.0595384,8.03441,0.00369611,-0.00186402
0.0597905,8.01567,0.00371226,-0.00185967
0.060042,7.99685,0.00372837,-0.00185531
0.060293,7.97794,0.00374444,-0.00185091
0.0605433,7.95896,0.00376046,-0.0018465
0.060793,7.9399,0.00377643,-0.00184206
0.0610422,7.92077,0.00379235,-0.00183759
0.0612907,7.90155,0.00380822,-0.0018331
0.0615386,7.88226,0.00382404,-0.00182858
0.061786,7.86288,0.0038398,-0.00182404
0.0620327,7.84343,0.00385551,-0.00181948
0.0622788,7.82391,0.00387116,-0.00181488
0.0625243,7.8043,0.00388675,-0.00181027
0.0627691,7.78462,0.00390228,-0.00180563
0.0630134,7.76487,0.00391775,-0.00180096
0.063257,7.74503,0.00393316,-0.00179629
0.0635,7.72512,0.00394857,-0.00179173
0.0637424,7.70513,0.00396395,-0.00178716
0.0639841,7.68507,0.00397931,-0.00178257
0.0642253,7.66493,0.00399464,-0.00177795
0.0644657,7.64472,0.00400993,-0.00177332
0.0647056,7.62443,0.0040252,-0.00176866
0.0649448,7.60406,0.00404044,-0.00176398
0.0651834,7.58362,0.00405564,-0.00175929
0.0654213,7.5631,0.0040708,-0.00175457
0.0656586,7.54251,0.00408594,-0.00174983
0.0658952,7.52185,0.00410103,-0.00174507
0.0661312,7.50111,0.00411609,-0.00174029
0.0663665,7.4803,0.00413111,-0.00173549
0.0666012,7.45941,0.00414609,-0.00173066
0.0668352,7.43845,0.00416103,-0.00172582
0.0670686,7.41742,0.00417593,-0.00172095
0.0673013,7.39631,0.00419078,-0.00171607
0.0675333,7.37513,0.00420559,-0.00171116
0.0677646,7.35388,0.00422035,-0.00170623
0.0679953,7.33255,0.00423507,-0.00170128
0.0682254,7.31116,0.00424974,-0.00169631
0.0684547,7.28969,0.00426436,-0.00169132
0.0686834,7.26814,0.00427893,-0.00168631
0.0689114,7.24653,0.00429345,-0.00168127
0.0691387,7.22485,0.00430791,-0.00167622
0.0693653,7.20309,0.00432233,-0.00167114
0.0695913,7.18126,0.00433669,-0.00166604
0.0698165,7.15936,0.00435099,-0.00166092
0.0700411,7.1374,0.00436523,-0.00165578
0.070265,7.11536,0.00437942,-0.00165062
0.0704882,7.09325,0.00439355,-0.00164543
0.0707107,7.07107,0.00440762,-0.00164023
0.0709325,7.04882,0.00442163,-0.00163501
0.0711536,7.0265,0.00443562,-0.00162987
0.071374,7.00411,0.00444959,-0.00162473
0.0715936,6.98165,0.00446351,-0.00161956
0.0718126,6.95913,0.00447741,-0.00161437
0.0720309,6.93653,0.00449126,-0.00160917
0.0722485,6.91387,0.00450508,-0.00160395
0.0724653,6.89114,0.00451885,-0.00159871
0.0726814,6.86834,0.00453259,-0.00159345
0.0728969,6.84547,0.00454629,-0.00158817
0.0731116,6.82254,0.00455995,-0.00158287
0.0733255,6.79953,0.00457356,-0.00157756
0.0735388,6.77646,0.00458713,-0.00157223
0.0737513,6.75333,0.00460066,-0.00156688
0.0739631,6.73013,0.00461414,-0.00156151
0.0741742,6.70686,0.00462758,-0.00155612
0.0743845,6.68352,0.00464097,-0.00155072
0.0745941,6.66012,0.00465431,-0.0015453
0.074803,6.63665,0.0046676,-0.00153986
0.0750111,6.61312,0.00468085,-0.0015344
0.0752185,6.58952,0.00469404,-0.00152892
0.0754251,6.56586,0.00470719,-0.00152342
0.075631,6.54213,0.00472028,-0.00151791
0.0758362,6.51834,0.00473332,-0.00151238
0.0760406,6.49448,0.00474631,-0.00150683
0.0762443,6.47056,0.00475924,-0.00150126
0.0764472,6.44657,0.00477212,-0.00149567
0.0766493,6.42253,0.00478494,-0.00149007
0.0768507,6.39841,0.00479771,-0.00148445
0.0770513,6.37424,0.00481042,-0.00147881
0.0772512,6.35,0.00482307,-0.00147315
0.0774503,6.3257,0.00483566,-0.00146747
0.0776487,6.30134,0.00484819,-0.00146178
0.0778462,6.27691,0.00486066,-0.00145606
0.078043,6.25243,0.0048731,-0.00145041
0.0782391,6.22788,0.0048855,-0.00144475
0.0784343,6.20327,0.00489787,-0.00143907
0.0786288,6.1786,0.00491018,-0.00143337
0.0788226,6.15386,0.00492246,-0.00142766
0.0790155,6.12907,0.00493469,-0.00142193
0.0792077,6.10422,0.00494688,-0.00141619
0.079399,6.0793,0.00495902,-0.00141043
0.0795896,6.05433,0.00497112,-0.00140466
0.0797794,6.0293,0.00498317,-0.00139887
0.0799685,6.0042,0.00499517,-0.00139306
0.0801567,5.97905,0.00500713,-0.00138724
0.0803441,5.95384,0.00501904,-0.0013814
0.0805308,5.92857,0.00503089,-0.00137555
0.0807166,5.90324,0.0050427,-0.00136968
0.0809017,5.87785,0.00505446,-0.0013638
0.081086,5.85241,0.00506617,-0.0013579
0.0812694,5.8269,0.00507782,-0.00135199
0.0814521,5.80134,0.00508942,-0.00134606
0.0816339,5.77573,0.00510097,-0.00134011
0.081815,5.75005,0.00511247,-0.00133415
0.0819952,5.72432,0.00512391,-0.00132818
0.0821746,5.69853,0.0051353,-0.00132219
0.0823533,5.67269,0.00514663,-0.00131618
0.0825311,5.64679,0.00515791,-0.00131016
0.0827081,5.62083,0.00516913,-0.00130413
0.0828842,5.59482,0.00518029,-0.00129807
0.0830596,5.56876,0.00519139,-0.00129201
0.0832341,5.54263,0.00520243,-0.00128593
0.0834078,5.51646,0.00521342,-0.00127983
0.0835807,5.49023,0.00522434,-0.00127372
0.0837528,5.46394,0.00523521,-0.00126759
0.083924,5.4376,0.00524601,-0.00126145
0.0840945,5.41121,0.00525677,-0.00125534
0.084264,5.38477,0.00526749,-0.00124923
0.0844328,5.35827,0.00527817,-0.0012431
0.0846007,5.33172,0.00528879,-0.00123696
0.0847678,5.30511,0.00529937,-0.00123081
0.084934,5.27846,0.0053099,-0.00122464
0.0850994,5.25175,0.00532038,-0.00121847
0.085264,5.22499,0.00533081,-0.00121227
0.0854277,5.19817,0.00534119,-0.00120607
0.0855906,5.17131,0.00535151,-0.00119985
0.0857527,5.1444,0.00536179,-0.00119362
0.0859139,5.11743,0.00537202,-0.00118737
0.0860742,5.09041,0.00538219,-0.00118111
0.0862337,5.06335,0.00539231,-0.00117484
0.0863923,5.03623,0.00540238,-0.00116856
0.0865501,5.00907,0.00541239,-0.00116226
0.0867071,4.98185,0.00542235,-0.00115595
0.0868632,4.95459,0.00543225,-0.00114963
0.0870184,4.92727,0.0054421,-0.00114329
0.0871727,4.89991,0.0054519,-0.00113694
0.0873262,4.8725,0.00546163,-0.00113058
0.0874789,4.84504,0.00547131,-0.0011242
0.0876307,4.81754,0.00548094,-0.00111782
0.0877816,4.78998,0.0054905,-0.00111142
0.0879316,4.76238,0.00550001,-0.001105
0.0880808,4.73473,0.00550946,-0.00109858
0.0882291,4.70704,0.00551884,-0.00109214
0.0883766,4.6793,0.00552817,-0.00108569
0.0885231,4.65151,0.00553744,-0.00107923
0.0886688,4.62368,0.00554665,-0.00107275
0.0888136,4.5958,0.0055558,-0.00106626
0.0889576,4.56787,0.00556489,-0.00105976
0.0891007,4.5399,0.00557391,-0.00105325
0.0892428,4.51189,0.00558288,-0.00104675
0.0893841,4.48383,0.00559181,-0.00104026
0.0895246,4.45573,0.00560069,-0.00103376
0.0896641,4.42758,0.00560951,-0.00102724
0.0898028,4.39939,0.00561828,-0.00102072
0.0899405,4.37116,0.005627,-0.00101418
0.0900774,4.34288,0.00563566,-0.00100764
0.0902134,4.31456,0.00564428,-0.00100108
0.0903485,4.2862,0.00565283,-0.000994511
0.0904827,4.25779,0.00566134,-0.000987931
0.090616,4.22935,0.00566978,-0.000981341
0.0907484,4.20086,0.00567818,-0.00097474
0.09088,4.17233,0.00568651,-0.000968129
0.0910106,4.14376,0.0056948,-0.000961507
0.0911403,4.11514,0.00570302,-0.000954874
0.0912692,4.08649,0.00571119,-0.00094823
0.0913971,4.0578,0.0057193,-0.000941577
0.0915241,4.02906,0.00572735,-0.000934912
0.0916502,4.00029,0.00573535,-0.000928238
0.0917755,3.97148,0.00574329,-0.000921553
0.0918998,3.94263,0.00575117,-0.000914858
