x,y,sigxx,sigyy,sigxy,ux,vy
-0.98, -0.42, -1.19796e+07, -2.96679e+06, 10601.6, -1.94882e-05, 0.000123762
-0.98, -0.4, -1.19582e+07, -2.97794e+06, 11370.6, -1.94409e-05, 0.000127687
-0.98, -0.38, -1.19365e+07, -2.98984e+06, 11822.2, -1.93919e-05, 0.000131575
-0.98, -0.36, -1.19147e+07, -3.00203e+06, 11972.4, -1.93427e-05, 0.000135424
-0.98, -0.34, -1.18924e+07, -3.01417e+06, 12339.1, -1.92927e-05, 0.000139235
-0.98, -0.32, -1.18702e+07, -3.02625e+06, 12322.4, -1.92426e-05, 0.000143005
-0.98, -0.3, -1.18479e+07, -3.03883e+06, 12377.5, -1.91927e-05, 0.000146735
-0.98, -0.28, -1.18261e+07, -3.05135e+06, 12413.8, -1.91434e-05, 0.000150426
-0.98, -0.26, -1.18043e+07, -3.06371e+06, 12333.3, -1.90944e-05, 0.000154077
-0.98, -0.24, -1.1783e+07, -3.07573e+06, 12100.6, -1.90476e-05, 0.000157689
-0.98, -0.22, -1.17636e+07, -3.08744e+06, 12123.4, -1.90015e-05, 0.000161264
-0.98, -0.2, -1.17444e+07, -3.09928e+06, 11071.8, -1.89576e-05, 0.000164802
-0.98, -0.18, -1.1727e+07, -3.10996e+06, 10855, -1.8917e-05, 0.000168305
-0.98, -0.16, -1.17101e+07, -3.12028e+06, 10214.4, -1.88772e-05, 0.000171775
-0.98, -0.14, -1.16945e+07, -3.12979e+06, 9085.4, -1.88432e-05, 0.000175214
-0.98, -0.12, -1.16811e+07, -3.13824e+06, 9089.06, -1.88103e-05, 0.000178626
-0.98, -0.1, -1.1668e+07, -3.14659e+06, 7004.18, -1.87823e-05, 0.000182012
-0.98, -0.08, -1.16588e+07, -3.15272e+06, 6812.15, -1.87589e-05, 0.000185376
-0.98, -0.06, -1.16501e+07, -3.15893e+06, 5820.05, -1.87373e-05, 0.000188721
-0.98, -0.04, -1.16431e+07, -3.16407e+06, 4721.34, -1.8724e-05, 0.000192051
-0.98, -0.02, -1.16377e+07, -3.16754e+06, 4955.04, -1.87115e-05, 0.00019537
-0.98, 0, -1.16321e+07, -3.16988e+06, 2246.13, -1.87063e-05, 0.00019868
-0.98, 0.02, -1.1635e+07, -3.1708e+06, -686.243, -1.8704e-05, 0.000201987
-0.98, 0.04, -1.16377e+07, -3.17073e+06, -543.636, -1.87091e-05, 0.000205293
-0.98, 0.06, -1.16414e+07, -3.16897e+06, -1834.54, -1.8715e-05, 0.000208602
-0.98, 0.08, -1.16464e+07, -3.16628e+06, -3113.34, -1.87291e-05, 0.000211919
-0.98, 0.1, -1.16522e+07, -3.1638e+06, -3544.53, -1.87451e-05, 0.000215246
-0.98, 0.12, -1.1664e+07, -3.15896e+06, -5337.79, -1.87657e-05, 0.000218587
-0.98, 0.14, -1.16758e+07, -3.15365e+06, -5552.28, -1.87913e-05, 0.000221945
-0.98, 0.16, -1.16893e+07, -3.14741e+06, -6701.79, -1.88181e-05, 0.000225323
-0.98, 0.18, -1.17034e+07, -3.14062e+06, -7282.2, -1.88507e-05, 0.000228723
-0.98, 0.2, -1.17179e+07, -3.13353e+06, -7457.2, -1.88841e-05, 0.000232148
-0.98, 0.22, -1.17349e+07, -3.12518e+06, -8524.19, -1.89209e-05, 0.000235599
-0.98, 0.24, -1.17528e+07, -3.11687e+06, -8552.45, -1.896e-05, 0.000239079
-0.98, 0.26, -1.17718e+07, -3.10822e+06, -8829.83, -1.89999e-05, 0.000242588
-0.98, 0.28, -1.1791e+07, -3.09947e+06, -8989.72, -1.90422e-05, 0.000246128
-0.98, 0.3, -1.18106e+07, -3.09086e+06, -8946.52, -1.90848e-05, 0.000249699
