	incl_deg	radius	frac_elem_size	tcid	run_id	tcdir	ANmax_num	ANmax_ana	ANerr
0	0	9.34539292953664	6.16567892418854	0078	R-0078	batch/R-0078	4.10759e-06	4.060529141273787e-06	0.0115898340065723
0	0	6.325938772323131	0.7383822765253925	0184	R-0184	batch/R-0184	2.73057e-06	2.7485905541486294e-06	-0.0065562890483741
0	0	6.2536622644654605	0.7108076987808645	0168	R-0168	batch/R-0168	2.6985e-06	2.7171867524467224e-06	-0.0068772425855144
0	0	7.017834095765624	1.3879523924612203	0062	R-0062	batch/R-0062	3.04039e-06	3.049215808189028e-06	-0.0028944518014517
0	0	6.752325143611847	1.6550035282744617	0072	R-0072	batch/R-0072	2.92057e-06	2.9338534210087027e-06	-0.0045276362184909
0	0	6.208167144888969	1.6247403735596675	0092	R-0092	batch/R-0092	2.67898e-06	2.697419337612594e-06	-0.0068359180775037
0	0	5.760368023249395	0.9808968471612433	0039	R-0039	batch/R-0039	2.48054e-06	2.502852731739078e-06	-0.0089149199455991
0	0	6.16157516291343	1.3854513697687747	0004	R-0004	batch/R-0004	2.65783e-06	2.677175341240496e-06	-0.0072260269779461
0	0	8.893902246926874	2.799537866047053	0103	R-0103	batch/R-0103	3.89731e-06	3.86435856957355e-06	0.0085270116199609
0	0	8.809593929262988	4.620265356594625	0036	R-0036	batch/R-0036	3.85794e-06	3.827727003270544e-06	0.007893195283687
0	0	5.03953061433994	0.866425182873321	0060	R-0060	batch/R-0060	2.16278e-06	2.1896522780967022e-06	-0.012272395195122
0	0	9.167830836321922	1.7434177635002746	0071	R-0071	batch/R-0071	4.02505e-06	3.983379249415823e-06	0.0104611557110179
0	0	9.781812706856552	3.9381977687247516	0023	R-0023	batch/R-0023	4.31413e-06	4.250151475722124e-06	0.0150532339008001
0	0	9.456026329026031	3.5704985834864043	0094	R-0094	batch/R-0094	4.16012e-06	4.108598831442195e-06	0.0125398391693842
0	0	5.579864437581671	2.007503532449346	0034	R-0034	batch/R-0034	2.40033e-06	2.4244247752866853e-06	-0.0099383472452083
0	0	6.400512203467688	4.157841707223229	0158	R-0158	batch/R-0158	2.76413e-06	2.780992358183023e-06	-0.006063432045545
0	0	5.75364573142925	5.941149831221289	0070	R-0070	batch/R-0070	2.47677e-06	2.4999319276554352e-06	-0.0092650233389184
0	0	7.541822418767948	1.4319691817540248	0045	R-0045	batch/R-0045	3.2769300000000003e-06	3.276886262634394e-06	1.3347233349226577e-05
0	0	5.442064253929637	6.933547760037281	0111	R-0111	batch/R-0111	2.33924e-06	2.364551245558095e-06	-0.0107044605633493
0	0	7.9241971404733835	1.338919046517567	0009	R-0009	batch/R-0009	3.45106e-06	3.4430262753741645e-06	0.0023333323603411
0	0	8.264217830829654	8.369351598965402	0019	R-0019	batch/R-0019	3.60624e-06	3.590763661296591e-06	0.0043100410283812
0	0	8.274770813789114	2.2072694773869515	0135	R-0135	batch/R-0135	3.61094e-06	3.5953488826090965e-06	0.004336468559788
0	0	9.861350803495235	1.3829076831858733	0091	R-0091	batch/R-0091	4.35102e-06	4.284710403493055e-06	0.0154758642387796
0	0	7.52097922761175	3.0352247470938103	0049	R-0049	batch/R-0049	3.26798e-06	3.2678299944041533e-06	4.590373309006549e-05
0	0	9.194856536050537	3.787558178746697	0012	R-0012	batch/R-0012	4.03768e-06	3.995121788454981e-06	0.010652544227313
